class_name,r,g,b
belt,72,25,107
blazer,72,30,112
blouse,72,35,116
bodysuit,71,40,120
bra,69,52,127
cape,66,61,132
cardigan,64,67,135
coat,61,76,137
dress,58,82,139
hoodie,43,116,142
intimate,41,120,142
jacket,40,123,142
jeans,38,127,142
jumper,36,132,141
leggings,35,136,141
panties,31,148,139
pants,30,152,138
romper,34,167,132
scarf,42,176,126
shirt,47,179,123
shorts,59,186,117
skirt,75,194,108
suit,112,206,86
sweater,134,212,73
sweatshirt,144,214,67
swimwear,154,216,60
t-shirt,165,218,53
tie,178,221,44
top,199,224,31
vest,210,225,27
